X,Y,Max_Depth_m,Time_of_Arrival,Duration_timesteps,Hazard_Class,Hazard_Index
407454.40595106815,4361105.277999514,0.0,-1,0,0,0.0
407429.40595106815,4361080.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407454.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407479.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407504.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407529.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407554.40595106815,4361080.277999514,0.0,-1,0,0,0.0
407429.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407454.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407479.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407504.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407529.40595106815,4361055.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407554.40595106815,4361055.277999514,4.3484955,1,72,4,2.1742477
407579.40595106815,4361055.277999514,5.089943,1,72,4,2.5449715
407604.40595106815,4361055.277999514,5.3709183,1,72,4,2.6854591
407629.40595106815,4361055.277999514,4.8341446,1,72,4,2.4170723
407654.40595106815,4361055.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407679.40595106815,4361055.277999514,0.0,-1,0,0,0.0
407429.40595106815,4361030.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407454.40595106815,4361030.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407479.40595106815,4361030.277999514,0.0,-1,0,0,0.0
407504.40595106815,4361030.277999514,3.8146973e-06,-1,0,0,1.9073486e-06
407529.40595106815,4361030.277999514,4.614872,1,72,4,2.307436
407554.40595106815,4361030.277999514,4.953129,1,72,4,2.4765644
407579.40595106815,4361030.277999514,4.99728,1,72,4,2.49864
407604.40595106815,4361030.277999514,4.9012947,1,72,4,2.4506474
407629.40595106815,4361030.277999514,0.0,-1,0,0,0.0
407654.40595106815,4361030.277999514,0.0,-1,0,0,0.0
407679.40595106815,4361030.277999514,0.0,-1,0,0,0.0
407404.40595106815,4361005.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407429.40595106815,4361005.277999514,0.0,-1,0,0,0.0
407454.40595106815,4361005.277999514,0.0,-1,0,0,0.0
407479.40595106815,4361005.277999514,7.6293945e-06,-1,0,0,3.8146973e-06
407504.40595106815,4361005.277999514,1.7597847,18,55,2,0.87989235
407529.40595106815,4361005.277999514,5.0794945,1,72,4,2.5397472
