Timestep,Depth_m,WSE_m
0,0.0,41.17725
1,0.0,41.17725
2,0.0,41.17725
3,0.0,41.17725
4,0.0,41.17725
5,5.5559807,46.73323
6,4.3692856,45.546535
7,0.0,41.17725
8,3.7508316,44.92808
9,3.8090172,44.986267
10,3.9811668,45.158417
11,4.1343727,45.311623
12,4.2757454,45.452995
13,4.405819,45.58307
14,4.551594,45.728844
15,4.6866264,45.863876
16,4.80851,45.98576
17,4.910923,46.088173
18,5.0093117,46.18656
19,5.194542,46.37179
20,5.446369,46.62362
21,5.7292595,46.90651
22,5.9839897,47.16124
23,6.1950417,47.37229
24,6.38422,47.56147
25,6.424938,47.60219
26,6.278511,47.45576
27,6.0975494,47.2748
28,5.893318,47.070568
29,5.670124,46.847374
30,5.425373,46.602623
31,5.1867714,46.36402
32,5.050915,46.228165
33,4.9286537,46.105904
34,4.807617,45.984867
35,4.674679,45.85193
36,4.5285187,45.70577
37,4.3908615,45.56811
38,4.3060303,45.48328
39,4.2240715,45.40132
40,4.139023,45.316273
41,4.0510216,45.22827
42,3.958969,45.13622
43,3.8657532,45.043003
44,3.8148384,44.99209
45,3.7705994,44.94785
46,3.7245407,44.90179
47,3.6773834,44.854633
48,3.6299934,44.807243
49,3.582344,44.759594
50,3.549652,44.726902
51,3.5230026,44.700253
52,3.4958954,44.673145
53,3.4705467,44.647797
54,3.4568558,44.634106
55,3.409565,44.586815
56,3.3781204,44.55537
57,3.3468056,44.524055
58,3.3147507,44.492
59,3.280758,44.458008
60,3.245247,44.422497
61,3.2072525,44.384502
62,3.1760216,44.35327
63,3.1647835,44.342033
64,3.1433334,44.320583
65,3.1196404,44.29689
66,3.0930824,44.270332
67,3.056961,44.23421
68,3.0229645,44.200214
69,2.9975853,44.174835
70,2.9754562,44.152706
71,2.9535713,44.13082
72,2.9320183,44.10927
